"Date","EUR 2yr x 5yr 6 Months Put ATMF BP Vol","EUR 2yr x 10yr 6 Months Put ATMF BP Vol","EUR 2yr x 30yr 6 Months Put ATMF BP Vol","EUR 5yr x 10yr 6 Months Put ATMF BP Vol","EUR 5yr x 30yr 6 Months Put ATMF BP Vol","EUR 10yr x 30yr 6 Months Put ATMF BP Vol"
10-Jan-18,1.41224,1.87339,2.23892,0.81174,1.6804,1.09176
11-Jan-18,1.48876,1.94196,2.26828,0.83169,1.70691,1.10976
12-Jan-18,1.4764,1.9536,2.25876,0.84081,1.69999,1.10496
16-Jan-18,1.44654,1.92593,2.22356,0.83174,1.6745,1.08853
17-Jan-18,1.45102,1.89546,2.21447,0.92855,1.66649,1.08361
18-Jan-18,1.48651,1.94041,2.26495,0.94958,1.69901,1.10361
19-Jan-18,1.48525,1.93816,2.26741,0.94926,1.7698,1.13199
22-Jan-18,1.34323,1.89116,2.23934,0.81242,1.65806,1.07708
23-Jan-18,1.37235,1.85379,2.24023,0.94495,1.74856,1.06598
24-Jan-18,1.35412,1.90342,2.25508,0.81702,1.66959,1.0845
25-Jan-18,1.39804,1.92388,2.25813,0.81958,1.68366,1.09324
26-Jan-18,1.33935,1.88458,2.27193,0.84557,1.70357,1.10774
29-Jan-18,1.4704,2.03921,2.43895,0.9591,1.8291,1.24396
30-Jan-18,1.44306,2.00503,2.42755,0.9417,1.8701,1.36511
31-Jan-18,1.42979,1.96953,2.41681,0.92268,1.81407,1.28664
01-Feb-18,1.41272,1.97176,2.40499,0.92641,1.80105,1.28038
02-Feb-18,1.57227,2.09698,2.53993,1.02722,1.95642,1.40874
05-Feb-18,1.52275,2.09233,2.50866,1.03569,1.92898,1.3975
06-Feb-18,1.60357,2.10194,2.54445,1.03495,1.9587,1.41181
07-Feb-18,1.59504,2.07289,2.52863,1.03738,1.99781,1.4384
08-Feb-18,1.61139,2.12112,2.55778,1.06596,2.01809,1.45547
09-Feb-18,1.60942,2.13108,2.56851,1.07415,2.02574,1.45926
12-Feb-18,1.70071,2.26178,2.6034,1.17986,2.05447,1.48416
13-Feb-18,1.64537,2.18482,2.61867,1.13894,2.01388,1.42909
14-Feb-18,1.60922,2.11875,2.53024,1.16041,2.04985,1.47593
15-Feb-18,1.60097,2.10205,2.46559,1.15749,1.99919,1.43971
16-Feb-18,1.58997,2.0667,2.43657,1.13106,2.00165,1.43537
20-Feb-18,1.57919,2.07944,2.43969,1.14453,2.00214,1.42199
21-Feb-18,1.53916,2.02547,2.40033,1.11336,1.99355,1.41628
22-Feb-18,1.65741,2.02313,2.37635,1.07423,2.04345,1.42007
23-Feb-18,1.64082,2.00558,2.36983,1.0631,2.04026,1.40923
26-Feb-18,1.58993,1.96156,2.31762,1.04288,1.98935,1.37576
27-Feb-18,1.55883,2.02701,2.29357,1.05003,1.84058,1.32376
28-Feb-18,1.54736,2.01716,2.2921,1.04801,1.83666,1.32004
01-Mar-18,1.49909,1.9727,2.28156,1.02506,1.82624,1.29638
02-Mar-18,1.46874,1.94038,2.2519,1.0132,1.80278,1.28005
05-Mar-18,1.45152,1.91554,2.23233,1.00195,1.78749,1.26785
06-Mar-18,1.45449,1.91597,2.21857,0.99731,1.77607,1.26115
07-Mar-18,1.44811,1.90859,2.20686,1.01203,1.76642,1.25492
08-Mar-18,1.42128,1.85143,2.16287,0.97401,1.7325,1.22754
09-Mar-18,1.34351,1.80736,2.13519,0.93741,1.70619,1.21142
12-Mar-18,1.40742,1.88703,2.17959,0.97853,1.78733,1.26878
13-Mar-18,1.39376,1.86601,2.15255,0.96733,1.76621,1.25431
14-Mar-18,1.39608,1.87683,2.17564,0.97429,1.78144,1.26385
15-Mar-18,1.39228,1.86864,2.16325,0.9707,1.77411,1.24121
16-Mar-18,1.35023,1.80072,2.09926,0.93655,1.72462,1.22587
19-Mar-18,1.35884,1.81179,2.12057,0.94157,1.76059,1.23219
20-Mar-18,1.39405,1.83545,2.12365,0.95323,1.76282,1.23391
21-Mar-18,1.40786,1.8536,2.12018,0.96302,1.78081,1.22923
22-Mar-18,1.40835,1.85332,2.13292,0.9628,1.81303,1.26918
23-Mar-18,1.41067,1.85586,2.13642,0.96453,1.81673,1.2715
26-Mar-18,1.39918,1.84069,2.13036,0.95647,1.81137,1.26785
27-Mar-18,1.443,1.87613,2.1264,0.97532,1.7858,1.25041
28-Mar-18,1.46399,1.88001,2.12777,0.97813,1.82985,1.2821
29-Mar-18,1.48008,1.87509,2.12442,0.97477,1.83767,1.28622
02-Apr-18,N/A,N/A,N/A,N/A,N/A,N/A
03-Apr-18,1.4886,1.87772,2.12402,0.97053,1.83759,1.28403
04-Apr-18,1.46144,1.85791,2.10884,0.96813,1.79074,1.25424
05-Apr-18,1.48358,1.87751,2.12759,0.97569,1.80892,1.26579
06-Apr-18,1.47005,1.86664,2.11088,0.97182,1.8161,1.2728
09-Apr-18,1.46611,1.85721,2.1016,0.96417,1.80735,1.26508
10-Apr-18,1.49326,1.8755,2.13769,0.97448,1.84217,1.28513
11-Apr-18,1.48128,1.87018,2.11978,0.97097,1.82376,1.2759
12-Apr-18,1.45774,1.82295,2.06429,0.94716,1.75447,1.17551
13-Apr-18,1.45565,1.8159,2.05427,0.94287,1.74721,1.17055
16-Apr-18,1.45569,1.81908,2.06066,0.94528,1.76271,1.18054
17-Apr-18,1.43266,1.80228,2.04232,0.9396,1.74491,1.17046
18-Apr-18,1.38678,1.83172,2.04843,0.95262,1.7509,1.15719
19-Apr-18,1.42522,1.86839,2.08461,0.96847,1.78409,1.17803
20-Apr-18,1.4096,1.85673,2.06726,0.96225,1.7654,1.16765
23-Apr-18,1.39303,1.83143,2.04714,0.95144,1.75237,1.15692
24-Apr-18,1.39009,1.8278,2.04649,0.94961,1.73059,1.1245
25-Apr-18,1.38729,1.82368,2.05009,0.94816,1.73218,1.12443
26-Apr-18,1.37732,1.81046,2.02357,0.94007,1.71168,1.11274
27-Apr-18,1.35945,1.7853,1.99832,0.92655,1.68933,1.0975
30-Apr-18,1.32293,1.72795,1.94455,0.88016,1.65619,1.0898
01-May-18,N/A,N/A,N/A,N/A,N/A,N/A
02-May-18,1.30626,1.72038,1.93011,0.87701,1.64056,1.06536
03-May-18,1.31837,1.72818,1.94033,0.87709,1.64723,1.06767
04-May-18,1.28836,1.6855,1.89594,0.8571,1.61267,1.04461
07-May-18,N/A,N/A,N/A,N/A,N/A,N/A
08-May-18,1.27881,1.65773,1.87813,0.84425,1.59684,1.03701
09-May-18,1.29191,1.68273,1.87161,0.85893,1.55226,1.00762
10-May-18,1.31939,1.69394,1.88499,0.8639,1.57082,1.03283
11-May-18,1.31575,1.68816,1.87615,0.86148,1.56517,1.02946
14-May-18,1.32826,1.72102,1.9205,0.87713,1.61427,1.06367
15-May-18,1.41941,1.80373,2.01383,0.91399,1.69913,1.11451
16-May-18,1.40555,1.85039,2.06648,0.94358,1.73493,1.12672
17-May-18,1.40919,1.866,2.08337,0.95369,1.74664,1.13611
18-May-18,1.41162,1.85943,2.07952,0.94908,1.7465,1.1332
21-May-18,1.43257,1.88479,2.10062,0.96115,1.75459,1.13955
22-May-18,1.44139,1.87831,2.0926,0.95633,1.75285,1.13636
23-May-18,1.40526,1.8719,2.09119,0.934,1.75767,1.12447
24-May-18,1.39583,1.88589,2.10591,0.94121,1.77013,1.1326
25-May-18,1.45288,1.97138,2.20737,0.98741,1.85491,1.18724
29-May-18,1.57042,2.10058,2.36121,1.05073,1.99049,1.26876
30-May-18,1.57617,2.09695,2.37307,1.04774,2.00884,1.294
31-May-18,1.53603,2.04292,2.32648,1.0261,1.97192,1.26807
01-Jun-18,1.49178,1.97823,2.22637,0.98404,1.82808,1.13279
04-Jun-18,1.48594,1.94872,2.20792,0.97416,1.81279,1.12225
05-Jun-18,1.49226,1.93694,2.19647,0.96644,1.80745,1.11551
06-Jun-18,1.5592,2.0409,2.30573,1.01754,1.84796,1.14415
07-Jun-18,1.55901,2.05063,2.30003,1.0267,1.87299,1.16432
08-Jun-18,1.54257,2.05642,2.32641,1.04834,1.87368,1.14232
11-Jun-18,1.5491,2.06548,2.32496,1.0531,1.87272,1.1229
12-Jun-18,1.5071,2.01695,2.29373,1.03132,1.8452,1.10556
13-Jun-18,1.48032,1.96161,2.20024,1.07901,1.76465,1.05598
14-Jun-18,1.4225,1.87274,2.09652,1.04712,1.67545,0.97119
15-Jun-18,1.37238,1.82143,2.03813,1.01904,1.68009,0.99157
18-Jun-18,1.30554,1.71705,1.94277,0.94406,1.61412,0.9678
19-Jun-18,1.3055,1.71743,1.94174,0.94437,1.6134,0.98396
20-Jun-18,1.29156,1.69179,1.91266,0.94413,1.55402,0.96207
21-Jun-18,1.28047,1.71234,1.92518,0.94398,1.56084,0.96691
22-Jun-18,1.28422,1.70928,1.91357,0.93747,1.55377,0.96283
25-Jun-18,1.28101,1.70924,1.91256,0.93747,1.55061,0.96165
26-Jun-18,1.31648,1.75559,1.96342,0.9626,1.61047,0.99852
27-Jun-18,1.41252,1.8845,2.02173,1.03546,1.6581,1.02803
28-Jun-18,1.43936,1.91478,2.05265,1.0514,1.68485,1.04382
29-Jun-18,1.43627,1.91448,2.00851,1.0526,1.62925,1.01043
02-Jul-18,1.41631,1.88412,2.01696,1.03753,1.62538,0.99805
03-Jul-18,1.42855,1.90377,1.99684,1.04386,1.6362,1.01425
05-Jul-18,1.42025,1.90411,2.00111,1.04672,1.65971,1.02972
06-Jul-18,1.39679,1.8859,1.97948,1.03763,1.63932,1.01943
09-Jul-18,1.46035,1.94146,2.04181,1.06734,1.73748,1.07584
10-Jul-18,1.44679,1.93644,2.04042,1.06622,1.73325,1.07432
11-Jul-18,1.40721,1.88401,1.98018,1.03642,1.66252,1.04827
12-Jul-18,1.40104,1.87632,1.9764,1.03279,1.65849,1.0448
13-Jul-18,1.38668,1.84236,1.96399,1.01289,1.67015,1.06608
16-Jul-18,1.35525,1.80373,1.91763,0.99322,1.62251,1.05334
17-Jul-18,1.3323,1.78227,1.89388,0.90939,1.60203,1.04109
18-Jul-18,1.35549,1.81904,1.91665,0.92659,1.62421,1.05522
19-Jul-18,1.35808,1.80958,1.91179,0.92178,1.6238,1.05209
20-Jul-18,1.35312,1.81539,1.91466,0.92658,1.62444,1.05546
23-Jul-18,1.36528,1.82414,1.92225,0.92892,1.63148,1.05899
24-Jul-18,1.36273,1.8168,1.93185,0.96285,1.64165,1.04981
25-Jul-18,1.37665,1.81307,1.92914,0.96069,1.63739,1.02725
26-Jul-18,1.3582,1.78356,1.90259,0.94654,1.61719,1.01286
27-Jul-18,1.37405,1.82867,1.9517,0.96875,1.64843,1.0523
30-Jul-18,1.3829,1.83814,1.95818,0.97237,1.65343,1.05576
31-Jul-18,1.36224,1.81018,1.92891,0.94341,1.63418,1.0423
01-Aug-18,1.35077,1.80661,1.93753,0.94027,1.6371,1.04761
02-Aug-18,1.38262,1.84407,1.97937,0.95905,1.67361,1.07078
03-Aug-18,1.37457,1.83196,1.96284,0.95068,1.65898,1.06154
06-Aug-18,1.34857,1.80324,1.93448,0.92076,1.63487,1.04651
07-Aug-18,1.3438,1.79256,1.92334,0.91478,1.61668,1.06691
08-Aug-18,1.35312,1.80444,1.93183,0.92082,1.62453,1.07302
09-Aug-18,1.36317,1.81832,1.95832,0.92736,1.64396,1.08337
10-Aug-18,1.37965,1.85898,1.99412,0.95014,1.63228,1.08015
13-Aug-18,1.37948,1.84851,1.97778,0.94221,1.62089,1.07175
14-Aug-18,1.39438,1.85856,1.99612,0.89173,1.63831,1.08031
15-Aug-18,1.40923,1.87843,1.99719,0.90144,1.63871,1.08057
16-Aug-18,1.39308,1.85714,1.97366,0.89121,1.61916,1.06792
17-Aug-18,1.40212,1.86844,1.96862,0.87758,1.61991,1.0721
20-Aug-18,1.37322,1.83011,1.98618,0.95163,1.66944,1.0845
21-Aug-18,1.3923,1.85551,1.9913,0.96469,1.69286,1.0995
22-Aug-18,1.39885,1.86956,2.00451,0.97225,1.70319,1.10743
23-Aug-18,1.34512,1.79836,1.92462,0.93447,1.63585,1.04838
24-Aug-18,1.3604,1.81242,1.92605,0.94209,1.63846,1.0478
27-Aug-18,N/A,N/A,N/A,N/A,N/A,N/A
28-Aug-18,1.36779,1.82404,1.94165,0.94887,1.65027,1.05467
29-Aug-18,1.37507,1.82841,1.95208,0.9524,1.66104,1.05979
30-Aug-18,1.38163,1.83335,1.9607,0.95734,1.6714,1.06611
31-Aug-18,1.39516,1.88351,1.98317,0.8851,1.68619,1.09478
04-Sep-18,1.39588,1.8806,1.98148,0.84601,1.68593,1.09371
05-Sep-18,1.37453,1.85602,1.92905,0.83532,1.64959,1.07693
06-Sep-18,1.3377,1.8384,1.91803,0.8273,1.61028,1.0304
07-Sep-18,1.36363,1.86846,1.94195,0.84092,1.6332,1.02937
10-Sep-18,1.29742,1.78573,1.91525,0.87537,1.60743,1.02212
11-Sep-18,1.29999,1.79085,1.91932,0.87852,1.61164,1.02563
12-Sep-18,1.20126,1.71224,1.89941,0.85624,1.59784,1.00503
