"Date","Euro 6M Expiry 2Y Payer Swap Implied BP Vol","Euro 6M Expiry 5Y Payer Swap Implied BP Vol","Euro 6M Expiry 10Y Payer Swap Implied BP Vol","Euro 6M Expiry 30Y Payer Swap Implied BP Vol"
10-Jan-18,18.5322,34.1598,40.2099,44.5149
11-Jan-18,21.4432,36.4551,41.3281,45.8363
12-Jan-18,20.8968,35.7398,41.0308,45.0387
16-Jan-18,20.6349,35.0702,40.4572,44.3547
17-Jan-18,20.6466,35.0041,40.3688,44.1958
18-Jan-18,20.6631,35.2829,40.68,44.52441
19-Jan-18,20.6949,35.2905,40.6347,44.4481
22-Jan-18,20.4789,35.009,40.3501,44.061
23-Jan-18,20.4212,34.7761,40.0301,43.543
24-Jan-18,20.4041,34.9704,40.1282,43.6736
25-Jan-18,21.3084,36.1713,40.6488,43.8263
26-Jan-18,20.4681,35.7883,40.3651,43.1934
29-Jan-18,21.6351,37.6582,42.0145,44.6229
30-Jan-18,21.1796,37.0175,41.7419,43.5926
31-Jan-18,21.237,37.136,41.8394,43.5633
01-Feb-18,21.1536,38.2458,43.2738,44.8453
02-Feb-18,21.4522,40.1119,45.6139,46.5598
05-Feb-18,21.1579,39.1777,45.9656,46.4356
06-Feb-18,21.2848,39.5556,47.9184,48.2856
07-Feb-18,21.2269,38.8919,47.2866,47.6916
08-Feb-18,21.6252,39.6632,48.8095,48.7944
09-Feb-18,21.5301,39.1656,48.4998,48.2446
12-Feb-18,21.5863,39.0919,48.9546,48.0906
13-Feb-18,20.8786,38.1455,48.3457,47.0855
14-Feb-18,20.7244,37.9509,47.568,45.7704
15-Feb-18,20.7566,38.5651,47.981,46.1292
16-Feb-18,20.5381,38.0728,46.9494,45.3392
20-Feb-18,21.0855,38.9107,46.8329,45.8142
21-Feb-18,20.6986,38.3888,45.9322,45.1273
22-Feb-18,20.6527,37.9332,45.2276,44.4542
23-Feb-18,20.7429,38.181,45.4199,44.6383
26-Feb-18,20.5902,37.8981,45.1364,44.37251
27-Feb-18,20.4834,38.0303,44.4782,43.772
28-Feb-18,20.7122,38.16436,44.51742,43.73298
01-Mar-18,20.4399,37.825,44.394,43.571
02-Mar-18,20.1066,37.2904,43.7449,42.9878
05-Mar-18,19.977,36.4242,42.7534,42.0009
06-Mar-18,20.4636,37.3091,43.9416,43.1354
07-Mar-18,20.1483,36.5192,43.222,42.3922
08-Mar-18,19.6126,36.0529,42.2804,41.5334
09-Mar-18,19.2836,35.3899,41.7442,40.9888
12-Mar-18,19.0183,34.891,41.2213,40.4264
13-Mar-18,18.9104,34.6039,40.8091,39.9542
14-Mar-18,19.0174,34.6993,41.0431,40.3764
15-Mar-18,19.0314,34.6937,41.0161,40.3937
16-Mar-18,19.162,34.8751,41.2428,40.4733
19-Mar-18,19.2053,34.9992,41.2103,40.4668
20-Mar-18,19.1516,34.8113,41.1437,40.3711
21-Mar-18,19.1283,34.7463,41.0889,40.1233
22-Mar-18,19.3246,34.8633,41.2145,40.2672
23-Mar-18,19.477,34.9899,41.387,40.405
26-Mar-18,19.3782,34.7843,41.1355,40.2161
27-Mar-18,19.4446,34.7865,41.1331,40.2281
28-Mar-18,19.4722,35.0062,41.4559,40.5414
29-Mar-18,19.98637,34.95514,41.25423,40.26927
02-Apr-18,N/A,N/A,N/A,N/A
03-Apr-18,19.4412,34.8132,41.043,40.1078
04-Apr-18,19.2692,34.3627,40.6522,39.771
05-Apr-18,19.371,34.8383,41.1892,40.1541
06-Apr-18,19.0629,34.5467,41.0438,39.9581
09-Apr-18,18.7466,34.3124,40.6994,39.6981
10-Apr-18,18.9277,34.5439,40.577,39.702
11-Apr-18,18.9095,34.5044,40.3437,39.4965
12-Apr-18,18.8933,34.5741,40.2286,39.3329
13-Apr-18,18.8873,34.5716,40.1402,39.2032
16-Apr-18,18.8525,34.5611,40.1687,39.2201
17-Apr-18,18.75,34.0939,39.8287,38.8705
18-Apr-18,18.4654,33.3,39.1216,38.2082
19-Apr-18,18.5731,34.0243,39.7863,38.829
20-Apr-18,18.2676,33.6347,39.4911,38.5253
23-Apr-18,18.4047,34.0293,39.7841,38.7068
24-Apr-18,18.2722,33.8563,39.6071,38.5589
25-Apr-18,18.3949,33.8816,39.5923,38.6456
26-Apr-18,18.1347,33.3708,39.0568,38.0713
27-Apr-18,17.8226,32.9897,38.5861,37.6127
30-Apr-18,17.38298,32.55276,38.09254,37.12814
01-May-18,N/A,N/A,N/A,N/A
02-May-18,17.6106,32.4433,37.9996,37.0761
03-May-18,17.4775,32.5383,38.0182,37.2876
04-May-18,17.2754,31.8939,37.2003,36.4711
07-May-18,N/A,N/A,N/A,N/A
08-May-18,17.0574,31.2878,36.4555,35.4583
09-May-18,17.1746,30.9924,36.1839,35.1554
10-May-18,17.9686,31.756,36.4463,35.4719
11-May-18,17.9645,31.6653,36.3351,35.3033
14-May-18,18.0999,32.3255,37.0802,36.097
15-May-18,18.8571,34.3213,38.6968,37.8839
16-May-18,19.0938,34.6184,39.261,38.5243
17-May-18,19.3373,34.7923,39.6184,38.8566
18-May-18,19.5762,34.5849,39.4234,38.8088
21-May-18,19.3759,34.241,39.0317,38.2585
