"Date","6 Month 2 Years Payer ATMF Implied BP Vol","6 Month 5 Years Payer ATMF Implied BP Vol","6 Month 10 Years Payer ATMF Implied BP Vol","6 Month 30 Years Payer ATMF Implied BP Vol"
09-Jan-18,2.80901,3.42225,3.64349,3.65092
10-Jan-18,2.83269,3.42225,3.67505,3.68248
11-Jan-18,2.78535,3.37492,3.62771,3.63514
12-Jan-18,2.75403,3.35127,3.61984,3.62727
16-Jan-18,2.70668,3.30394,3.58035,3.5878
17-Jan-18,2.69058,3.29598,3.57242,3.57989
18-Jan-18,2.6984,3.35907,3.63552,3.64301
19-Jan-18,2.73036,3.49336,3.79345,3.81665
22-Jan-18,2.73036,3.50914,3.85657,3.87977
23-Jan-18,2.73036,3.51703,3.85657,3.87188
24-Jan-18,2.76981,3.55648,3.94336,3.94683
25-Jan-18,2.73825,3.56437,3.95125,3.93895
26-Jan-18,2.83293,3.72217,4.08538,4.07308
29-Jan-18,2.88776,3.84009,4.1955,4.15965
30-Jan-18,2.90352,3.88742,4.2428,4.20696
31-Jan-18,2.92644,3.92667,4.25062,4.21481
01-Feb-18,2.97367,3.93459,4.27426,4.23846
02-Feb-18,2.9979,4.03747,4.40078,4.37276
05-Feb-18,3.01439,4.03776,4.40098,4.3729
06-Feb-18,3.10118,4.23502,4.61401,4.57409
07-Feb-18,3.06173,4.15611,4.53511,4.49519
08-Feb-18,3.17219,4.31392,4.69291,4.65299
09-Feb-18,3.29054,4.36915,4.74813,4.70822
12-Feb-18,3.29843,4.34547,4.71658,4.66088
13-Feb-18,3.25109,4.31392,4.67713,4.62143
14-Feb-18,3.40889,4.36915,4.65346,4.54253
15-Feb-18,3.42467,4.34547,4.57456,4.45574
16-Feb-18,3.30632,4.16401,4.39309,4.27427
20-Feb-18,3.25898,4.02198,4.25107,4.13225
21-Feb-18,3.25898,4.00621,4.19567,4.06892
22-Feb-18,3.25772,3.982,4.14793,4.02131
23-Feb-18,3.29843,4.05181,4.21853,4.1002
26-Feb-18,3.43349,4.08244,4.23218,4.0866
27-Feb-18,3.49307,4.13757,4.27152,4.11812
28-Feb-18,3.47006,4.14378,4.27776,4.11751
01-Mar-18,3.37733,4.19083,4.31734,4.15119
02-Mar-18,3.45623,4.27762,4.38835,4.21431
05-Mar-18,3.472,4.31707,4.4278,4.25376
06-Mar-18,3.48778,4.32496,4.41991,4.23009
